file_name,label,instrument,type_of_sound,root_note,chord_type
0045.wav,D#:maj,non_guitar,Jazz_Organ,D#,maj
0046.wav,D#:maj/3,non_guitar,Jazz_Organ,D#,maj/3
0047.wav,D#:maj/5,non_guitar,Jazz_Organ,D#,maj/5
0048.wav,E:maj,non_guitar,Jazz_Organ,E,maj
0049.wav,E:maj/3,non_guitar,Jazz_Organ,E,maj/3
0050.wav,E:maj/5,non_guitar,Jazz_Organ,E,maj/5
0051.wav,F:maj,non_guitar,Jazz_Organ,F,maj
0052.wav,F:maj/3,non_guitar,Jazz_Organ,F,maj/3
0053.wav,F:maj/5,non_guitar,Jazz_Organ,F,maj/5
0054.wav,F#:maj,non_guitar,Jazz_Organ,F#,maj
0055.wav,F#:maj/3,non_guitar,Jazz_Organ,F#,maj/3
0056.wav,F#:maj/5,non_guitar,Jazz_Organ,F#,maj/5
0057.wav,G:maj,non_guitar,Jazz_Organ,G,maj
0058.wav,G:maj/3,non_guitar,Jazz_Organ,G,maj/3
0059.wav,G:maj/5,non_guitar,Jazz_Organ,G,maj/5
0060.wav,G#:maj,non_guitar,Jazz_Organ,G#,maj
0061.wav,G#:maj/3,non_guitar,Jazz_Organ,G#,maj/3
0062.wav,G#:maj/5,non_guitar,Jazz_Organ,G#,maj/5
0063.wav,A:maj,non_guitar,Jazz_Organ,A,maj
0064.wav,A:maj/3,non_guitar,Jazz_Organ,A,maj/3
0065.wav,A:maj/5,non_guitar,Jazz_Organ,A,maj/5
0066.wav,A#:maj,non_guitar,Jazz_Organ,A#,maj
0067.wav,A#:maj/3,non_guitar,Jazz_Organ,A#,maj/3
0068.wav,A#:maj/5,non_guitar,Jazz_Organ,A#,maj/5
0069.wav,B:maj,non_guitar,Jazz_Organ,B,maj
0070.wav,B:maj/3,non_guitar,Jazz_Organ,B,maj/3
0071.wav,B:maj/5,non_guitar,Jazz_Organ,B,maj/5
0072.wav,C:min,non_guitar,Jazz_Organ,C,min
0073.wav,C:min/3,non_guitar,Jazz_Organ,C,min/3
0074.wav,C:min/5,non_guitar,Jazz_Organ,C,min/5
0075.wav,C#:min,non_guitar,Jazz_Organ,C#,min
0076.wav,C#:min/3,non_guitar,Jazz_Organ,C#,min/3
0077.wav,C#:min/5,non_guitar,Jazz_Organ,C#,min/5
0078.wav,D:min,non_guitar,Jazz_Organ,D,min
0079.wav,D:min/3,non_guitar,Jazz_Organ,D,min/3
0080.wav,D:min/5,non_guitar,Jazz_Organ,D,min/5
0081.wav,D#:min,non_guitar,Jazz_Organ,D#,min
0082.wav,D#:min/3,non_guitar,Jazz_Organ,D#,min/3
0083.wav,D#:min/5,non_guitar,Jazz_Organ,D#,min/5
0084.wav,E:min,non_guitar,Jazz_Organ,E,min
0085.wav,E:min/3,non_guitar,Jazz_Organ,E,min/3
0086.wav,E:min/5,non_guitar,Jazz_Organ,E,min/5
0087.wav,F:min,non_guitar,Jazz_Organ,F,min
0088.wav,F:min/3,non_guitar,Jazz_Organ,F,min/3
0089.wav,F:min/5,non_guitar,Jazz_Organ,F,min/5
0090.wav,F#:min,non_guitar,Jazz_Organ,F#,min
0091.wav,F#:min/3,non_guitar,Jazz_Organ,F#,min/3
0092.wav,F#:min/5,non_guitar,Jazz_Organ,F#,min/5
0093.wav,G:min,non_guitar,Jazz_Organ,G,min
0094.wav,G:min/3,non_guitar,Jazz_Organ,G,min/3
0095.wav,G:min/5,non_guitar,Jazz_Organ,G,min/5
0096.wav,G#:min,non_guitar,Jazz_Organ,G#,min
0097.wav,G#:min/3,non_guitar,Jazz_Organ,G#,min/3
0098.wav,G#:min/5,non_guitar,Jazz_Organ,G#,min/5
0099.wav,A:min,non_guitar,Jazz_Organ,A,min
0100.wav,A:min/3,non_guitar,Jazz_Organ,A,min/3
0101.wav,A:min/5,non_guitar,Jazz_Organ,A,min/5
0102.wav,A#:min,non_guitar,Jazz_Organ,A#,min
0103.wav,A#:min/3,non_guitar,Jazz_Organ,A#,min/3
0104.wav,A#:min/5,non_guitar,Jazz_Organ,A#,min/5
0105.wav,B:min,non_guitar,Jazz_Organ,B,min
0106.wav,B:min/3,non_guitar,Jazz_Organ,B,min/3
0107.wav,B:min/5,non_guitar,Jazz_Organ,B,min/5
0108.wav,C:min,non_guitar,Jazz_Organ,C,min
0109.wav,C:min/3,non_guitar,Jazz_Organ,C,min/3
0110.wav,C:min/5,non_guitar,Jazz_Organ,C,min/5
0111.wav,C#:min,non_guitar,Jazz_Organ,C#,min
0112.wav,C#:min/3,non_guitar,Jazz_Organ,C#,min/3
0113.wav,C#:min/5,non_guitar,Jazz_Organ,C#,min/5
0114.wav,D:min,non_guitar,Jazz_Organ,D,min
0115.wav,D:min/3,non_guitar,Jazz_Organ,D,min/3
0116.wav,D:min/5,non_guitar,Jazz_Organ,D,min/5
0117.wav,D#:min,non_guitar,Jazz_Organ,D#,min
0118.wav,D#:min/3,non_guitar,Jazz_Organ,D#,min/3
0119.wav,D#:min/5,non_guitar,Jazz_Organ,D#,min/5
0120.wav,E:min,non_guitar,Jazz_Organ,E,min
0121.wav,E:min/3,non_guitar,Jazz_Organ,E,min/3
0122.wav,E:min/5,non_guitar,Jazz_Organ,E,min/5
0123.wav,F:min,non_guitar,Jazz_Organ,F,min
0124.wav,F:min/3,non_guitar,Jazz_Organ,F,min/3
0125.wav,F:min/5,non_guitar,Jazz_Organ,F,min/5
0126.wav,F#:min,non_guitar,Jazz_Organ,F#,min
0127.wav,F#:min/3,non_guitar,Jazz_Organ,F#,min/3
0128.wav,F#:min/5,non_guitar,Jazz_Organ,F#,min/5
0129.wav,G:min,non_guitar,Jazz_Organ,G,min
0130.wav,G:min/3,non_guitar,Jazz_Organ,G,min/3
0131.wav,G:min/5,non_guitar,Jazz_Organ,G,min/5
0132.wav,G#:min,non_guitar,Jazz_Organ,G#,min
0133.wav,G#:min/3,non_guitar,Jazz_Organ,G#,min/3
0134.wav,G#:min/5,non_guitar,Jazz_Organ,G#,min/5
0135.wav,A:min,non_guitar,Jazz_Organ,A,min
0136.wav,A:min/3,non_guitar,Jazz_Organ,A,min/3
0137.wav,A:min/5,non_guitar,Jazz_Organ,A,min/5
0138.wav,A#:min,non_guitar,Jazz_Organ,A#,min
0139.wav,A#:min/3,non_guitar,Jazz_Organ,A#,min/3
0140.wav,A#:min/5,non_guitar,Jazz_Organ,A#,min/5
0141.wav,B:min,non_guitar,Jazz_Organ,B,min
0142.wav,B:min/3,non_guitar,Jazz_Organ,B,min/3
0143.wav,B:min/5,non_guitar,Jazz_Organ,B,min/5
0144.wav,C:maj7,non_guitar,Jazz_Organ,C,maj7
0145.wav,C:maj7/3,non_guitar,Jazz_Organ,C,maj7/3
0146.wav,C:maj7/5,non_guitar,Jazz_Organ,C,maj7/5
0147.wav,C:maj7/7,non_guitar,Jazz_Organ,C,maj7/7
0148.wav,C#:maj7,non_guitar,Jazz_Organ,C#,maj7
0149.wav,C#:maj7/3,non_guitar,Jazz_Organ,C#,maj7/3
0150.wav,C#:maj7/5,non_guitar,Jazz_Organ,C#,maj7/5
0151.wav,C#:maj7/7,non_guitar,Jazz_Organ,C#,maj7/7
0152.wav,D:maj7,non_guitar,Jazz_Organ,D,maj7
0153.wav,D:maj7/3,non_guitar,Jazz_Organ,D,maj7/3
0154.wav,D:maj7/5,non_guitar,Jazz_Organ,D,maj7/5
0155.wav,D:maj7/7,non_guitar,Jazz_Organ,D,maj7/7
0156.wav,D#:maj7,non_guitar,Jazz_Organ,D#,maj7
0157.wav,D#:maj7/3,non_guitar,Jazz_Organ,D#,maj7/3
0158.wav,D#:maj7/5,non_guitar,Jazz_Organ,D#,maj7/5
0159.wav,D#:maj7/7,non_guitar,Jazz_Organ,D#,maj7/7
0160.wav,E:maj7,non_guitar,Jazz_Organ,E,maj7
0161.wav,E:maj7/3,non_guitar,Jazz_Organ,E,maj7/3
0162.wav,E:maj7/5,non_guitar,Jazz_Organ,E,maj7/5
0163.wav,E:maj7/7,non_guitar,Jazz_Organ,E,maj7/7
0164.wav,F:maj7,non_guitar,Jazz_Organ,F,maj7
0165.wav,F:maj7/3,non_guitar,Jazz_Organ,F,maj7/3
0166.wav,F:maj7/5,non_guitar,Jazz_Organ,F,maj7/5
0167.wav,F:maj7/7,non_guitar,Jazz_Organ,F,maj7/7
0168.wav,F#:maj7,non_guitar,Jazz_Organ,F#,maj7
0169.wav,F#:maj7/3,non_guitar,Jazz_Organ,F#,maj7/3
0170.wav,F#:maj7/5,non_guitar,Jazz_Organ,F#,maj7/5
0171.wav,F#:maj7/7,non_guitar,Jazz_Organ,F#,maj7/7
0172.wav,G:maj7,non_guitar,Jazz_Organ,G,maj7
0173.wav,G:maj7/3,non_guitar,Jazz_Organ,G,maj7/3
0174.wav,G:maj7/5,non_guitar,Jazz_Organ,G,maj7/5
0175.wav,G:maj7/7,non_guitar,Jazz_Organ,G,maj7/7
0176.wav,G#:maj7,non_guitar,Jazz_Organ,G#,maj7
0177.wav,G#:maj7/3,non_guitar,Jazz_Organ,G#,maj7/3
0178.wav,G#:maj7/5,non_guitar,Jazz_Organ,G#,maj7/5
0179.wav,G#:maj7/7,non_guitar,Jazz_Organ,G#,maj7/7
0180.wav,A:maj7,non_guitar,Jazz_Organ,A,maj7
0181.wav,A:maj7/3,non_guitar,Jazz_Organ,A,maj7/3
0182.wav,A:maj7/5,non_guitar,Jazz_Organ,A,maj7/5
0183.wav,A:maj7/7,non_guitar,Jazz_Organ,A,maj7/7
0184.wav,A#:maj7,non_guitar,Jazz_Organ,A#,maj7
0185.wav,A#:maj7/3,non_guitar,Jazz_Organ,A#,maj7/3
0186.wav,A#:maj7/5,non_guitar,Jazz_Organ,A#,maj7/5
0187.wav,A#:maj7/7,non_guitar,Jazz_Organ,A#,maj7/7
0188.wav,B:maj7,non_guitar,Jazz_Organ,B,maj7
0189.wav,B:maj7/3,non_guitar,Jazz_Organ,B,maj7/3
0190.wav,B:maj7/5,non_guitar,Jazz_Organ,B,maj7/5
0191.wav,B:maj7/7,non_guitar,Jazz_Organ,B,maj7/7
0192.wav,C:maj7,non_guitar,Jazz_Organ,C,maj7
0193.wav,C:maj7/3,non_guitar,Jazz_Organ,C,maj7/3
0194.wav,C:maj7/5,non_guitar,Jazz_Organ,C,maj7/5
0195.wav,C:maj7/7,non_guitar,Jazz_Organ,C,maj7/7
0196.wav,C#:maj7,non_guitar,Jazz_Organ,C#,maj7
0197.wav,C#:maj7/3,non_guitar,Jazz_Organ,C#,maj7/3
0198.wav,C#:maj7/5,non_guitar,Jazz_Organ,C#,maj7/5
0199.wav,C#:maj7/7,non_guitar,Jazz_Organ,C#,maj7/7
0200.wav,D:maj7,non_guitar,Jazz_Organ,D,maj7
0201.wav,D:maj7/3,non_guitar,Jazz_Organ,D,maj7/3
0202.wav,D:maj7/5,non_guitar,Jazz_Organ,D,maj7/5
0203.wav,D:maj7/7,non_guitar,Jazz_Organ,D,maj7/7
0204.wav,D#:maj7,non_guitar,Jazz_Organ,D#,maj7
0205.wav,D#:maj7/3,non_guitar,Jazz_Organ,D#,maj7/3
0206.wav,D#:maj7/5,non_guitar,Jazz_Organ,D#,maj7/5
0207.wav,D#:maj7/7,non_guitar,Jazz_Organ,D#,maj7/7
0208.wav,E:maj7,non_guitar,Jazz_Organ,E,maj7
0209.wav,E:maj7/3,non_guitar,Jazz_Organ,E,maj7/3
0210.wav,E:maj7/5,non_guitar,Jazz_Organ,E,maj7/5
0211.wav,E:maj7/7,non_guitar,Jazz_Organ,E,maj7/7
0212.wav,F:maj7,non_guitar,Jazz_Organ,F,maj7
0213.wav,F:maj7/3,non_guitar,Jazz_Organ,F,maj7/3
0214.wav,F:maj7/5,non_guitar,Jazz_Organ,F,maj7/5
0215.wav,F:maj7/7,non_guitar,Jazz_Organ,F,maj7/7
0216.wav,F#:maj7,non_guitar,Jazz_Organ,F#,maj7
0217.wav,F#:maj7/3,non_guitar,Jazz_Organ,F#,maj7/3
0218.wav,F#:maj7/5,non_guitar,Jazz_Organ,F#,maj7/5
0219.wav,F#:maj7/7,non_guitar,Jazz_Organ,F#,maj7/7
0220.wav,G:maj7,non_guitar,Jazz_Organ,G,maj7
0221.wav,G:maj7/3,non_guitar,Jazz_Organ,G,maj7/3
0222.wav,G:maj7/5,non_guitar,Jazz_Organ,G,maj7/5
0223.wav,G:maj7/7,non_guitar,Jazz_Organ,G,maj7/7
0224.wav,G#:maj7,non_guitar,Jazz_Organ,G#,maj7
0225.wav,G#:maj7/3,non_guitar,Jazz_Organ,G#,maj7/3
0226.wav,G#:maj7/5,non_guitar,Jazz_Organ,G#,maj7/5
0227.wav,G#:maj7/7,non_guitar,Jazz_Organ,G#,maj7/7
0228.wav,A:maj7,non_guitar,Jazz_Organ,A,maj7
0229.wav,A:maj7/3,non_guitar,Jazz_Organ,A,maj7/3
0230.wav,A:maj7/5,non_guitar,Jazz_Organ,A,maj7/5
0231.wav,A:maj7/7,non_guitar,Jazz_Organ,A,maj7/7
0232.wav,A#:maj7,non_guitar,Jazz_Organ,A#,maj7
0233.wav,A#:maj7/3,non_guitar,Jazz_Organ,A#,maj7/3
0234.wav,A#:maj7/5,non_guitar,Jazz_Organ,A#,maj7/5
0235.wav,A#:maj7/7,non_guitar,Jazz_Organ,A#,maj7/7
0236.wav,B:maj7,non_guitar,Jazz_Organ,B,maj7
0237.wav,B:maj7/3,non_guitar,Jazz_Organ,B,maj7/3
0238.wav,B:maj7/5,non_guitar,Jazz_Organ,B,maj7/5
0239.wav,B:maj7/7,non_guitar,Jazz_Organ,B,maj7/7
0240.wav,C:min7,non_guitar,Jazz_Organ,C,min7
0241.wav,C:min7/3,non_guitar,Jazz_Organ,C,min7/3
0242.wav,C:min7/5,non_guitar,Jazz_Organ,C,min7/5
0243.wav,C:min7/7,non_guitar,Jazz_Organ,C,min7/7
0244.wav,C#:min7,non_guitar,Jazz_Organ,C#,min7
0245.wav,C#:min7/3,non_guitar,Jazz_Organ,C#,min7/3
0246.wav,C#:min7/5,non_guitar,Jazz_Organ,C#,min7/5
0247.wav,C#:min7/7,non_guitar,Jazz_Organ,C#,min7/7
0248.wav,D:min7,non_guitar,Jazz_Organ,D,min7
0249.wav,D:min7/3,non_guitar,Jazz_Organ,D,min7/3
0250.wav,D:min7/5,non_guitar,Jazz_Organ,D,min7/5
0251.wav,D:min7/7,non_guitar,Jazz_Organ,D,min7/7
0252.wav,D#:min7,non_guitar,Jazz_Organ,D#,min7
0253.wav,D#:min7/3,non_guitar,Jazz_Organ,D#,min7/3
0254.wav,D#:min7/5,non_guitar,Jazz_Organ,D#,min7/5
0255.wav,D#:min7/7,non_guitar,Jazz_Organ,D#,min7/7
0256.wav,E:min7,non_guitar,Jazz_Organ,E,min7
0257.wav,E:min7/3,non_guitar,Jazz_Organ,E,min7/3
0258.wav,E:min7/5,non_guitar,Jazz_Organ,E,min7/5
0259.wav,E:min7/7,non_guitar,Jazz_Organ,E,min7/7
0260.wav,F:min7,non_guitar,Jazz_Organ,F,min7
0261.wav,F:min7/3,non_guitar,Jazz_Organ,F,min7/3
0262.wav,F:min7/5,non_guitar,Jazz_Organ,F,min7/5
0263.wav,F:min7/7,non_guitar,Jazz_Organ,F,min7/7
0264.wav,F#:min7,non_guitar,Jazz_Organ,F#,min7
0265.wav,F#:min7/3,non_guitar,Jazz_Organ,F#,min7/3
0266.wav,F#:min7/5,non_guitar,Jazz_Organ,F#,min7/5
0267.wav,F#:min7/7,non_guitar,Jazz_Organ,F#,min7/7
0268.wav,G:min7,non_guitar,Jazz_Organ,G,min7
0269.wav,G:min7/3,non_guitar,Jazz_Organ,G,min7/3
0270.wav,G:min7/5,non_guitar,Jazz_Organ,G,min7/5
0271.wav,G:min7/7,non_guitar,Jazz_Organ,G,min7/7
0272.wav,G#:min7,non_guitar,Jazz_Organ,G#,min7
0273.wav,G#:min7/3,non_guitar,Jazz_Organ,G#,min7/3
0274.wav,G#:min7/5,non_guitar,Jazz_Organ,G#,min7/5
0275.wav,G#:min7/7,non_guitar,Jazz_Organ,G#,min7/7
0276.wav,A:min7,non_guitar,Jazz_Organ,A,min7
0277.wav,A:min7/3,non_guitar,Jazz_Organ,A,min7/3
0278.wav,A:min7/5,non_guitar,Jazz_Organ,A,min7/5
0279.wav,A:min7/7,non_guitar,Jazz_Organ,A,min7/7
0280.wav,A#:min7,non_guitar,Jazz_Organ,A#,min7
0281.wav,A#:min7/3,non_guitar,Jazz_Organ,A#,min7/3
0282.wav,A#:min7/5,non_guitar,Jazz_Organ,A#,min7/5
0283.wav,A#:min7/7,non_guitar,Jazz_Organ,A#,min7/7
0284.wav,B:min7,non_guitar,Jazz_Organ,B,min7
0285.wav,B:min7/3,non_guitar,Jazz_Organ,B,min7/3
0286.wav,B:min7/5,non_guitar,Jazz_Organ,B,min7/5
0287.wav,B:min7/7,non_guitar,Jazz_Organ,B,min7/7
0288.wav,C:min7,non_guitar,Jazz_Organ,C,min7
0289.wav,C:min7/3,non_guitar,Jazz_Organ,C,min7/3
0290.wav,C:min7/5,non_guitar,Jazz_Organ,C,min7/5
0291.wav,C:min7/7,non_guitar,Jazz_Organ,C,min7/7
0292.wav,C#:min7,non_guitar,Jazz_Organ,C#,min7
0293.wav,C#:min7/3,non_guitar,Jazz_Organ,C#,min7/3
0294.wav,C#:min7/5,non_guitar,Jazz_Organ,C#,min7/5
0295.wav,C#:min7/7,non_guitar,Jazz_Organ,C#,min7/7
0296.wav,D:min7,non_guitar,Jazz_Organ,D,min7
0297.wav,D:min7/3,non_guitar,Jazz_Organ,D,min7/3
0298.wav,D:min7/5,non_guitar,Jazz_Organ,D,min7/5
0299.wav,D:min7/7,non_guitar,Jazz_Organ,D,min7/7
0300.wav,D#:min7,non_guitar,Jazz_Organ,D#,min7
0301.wav,D#:min7/3,non_guitar,Jazz_Organ,D#,min7/3
0302.wav,D#:min7/5,non_guitar,Jazz_Organ,D#,min7/5
0303.wav,D#:min7/7,non_guitar,Jazz_Organ,D#,min7/7
0304.wav,E:min7,non_guitar,Jazz_Organ,E,min7
0305.wav,E:min7/3,non_guitar,Jazz_Organ,E,min7/3
0306.wav,E:min7/5,non_guitar,Jazz_Organ,E,min7/5
0307.wav,E:min7/7,non_guitar,Jazz_Organ,E,min7/7
0308.wav,F:min7,non_guitar,Jazz_Organ,F,min7
0309.wav,F:min7/3,non_guitar,Jazz_Organ,F,min7/3
0310.wav,F:min7/5,non_guitar,Jazz_Organ,F,min7/5
0311.wav,F:min7/7,non_guitar,Jazz_Organ,F,min7/7
0312.wav,F#:min7,non_guitar,Jazz_Organ,F#,min7
0313.wav,F#:min7/3,non_guitar,Jazz_Organ,F#,min7/3
0314.wav,F#:min7/5,non_guitar,Jazz_Organ,F#,min7/5
0315.wav,F#:min7/7,non_guitar,Jazz_Organ,F#,min7/7
0316.wav,G:min7,non_guitar,Jazz_Organ,G,min7
0317.wav,G:min7/3,non_guitar,Jazz_Organ,G,min7/3
0318.wav,G:min7/5,non_guitar,Jazz_Organ,G,min7/5
0319.wav,G:min7/7,non_guitar,Jazz_Organ,G,min7/7
0320.wav,G#:min7,non_guitar,Jazz_Organ,G#,min7
0321.wav,G#:min7/3,non_guitar,Jazz_Organ,G#,min7/3
0322.wav,G#:min7/5,non_guitar,Jazz_Organ,G#,min7/5
0323.wav,G#:min7/7,non_guitar,Jazz_Organ,G#,min7/7
0324.wav,A:min7,non_guitar,Jazz_Organ,A,min7
0325.wav,A:min7/3,non_guitar,Jazz_Organ,A,min7/3
0326.wav,A:min7/5,non_guitar,Jazz_Organ,A,min7/5
0327.wav,A:min7/7,non_guitar,Jazz_Organ,A,min7/7
0328.wav,A#:min7,non_guitar,Jazz_Organ,A#,min7
0329.wav,A#:min7/3,non_guitar,Jazz_Organ,A#,min7/3
0330.wav,A#:min7/5,non_guitar,Jazz_Organ,A#,min7/5
0331.wav,A#:min7/7,non_guitar,Jazz_Organ,A#,min7/7
0332.wav,B:min7,non_guitar,Jazz_Organ,B,min7
0333.wav,B:min7/3,non_guitar,Jazz_Organ,B,min7/3
0334.wav,B:min7/5,non_guitar,Jazz_Organ,B,min7/5
0335.wav,B:min7/7,non_guitar,Jazz_Organ,B,min7/7
0336.wav,C:5,non_guitar,Jazz_Organ,C,5
0337.wav,C:5/5,non_guitar,Jazz_Organ,C,5/5
0338.wav,C#:5,non_guitar,Jazz_Organ,C#,5
0339.wav,C#:5/5,non_guitar,Jazz_Organ,C#,5/5
0340.wav,D:5,non_guitar,Jazz_Organ,D,5
0341.wav,D:5/5,non_guitar,Jazz_Organ,D,5/5
0342.wav,D#:5,non_guitar,Jazz_Organ,D#,5
0343.wav,D#:5/5,non_guitar,Jazz_Organ,D#,5/5
0344.wav,E:5,non_guitar,Jazz_Organ,E,5
0345.wav,E:5/5,non_guitar,Jazz_Organ,E,5/5
0346.wav,F:5,non_guitar,Jazz_Organ,F,5
0347.wav,F:5/5,non_guitar,Jazz_Organ,F,5/5
0348.wav,F#:5,non_guitar,Jazz_Organ,F#,5
0349.wav,F#:5/5,non_guitar,Jazz_Organ,F#,5/5
0350.wav,G:5,non_guitar,Jazz_Organ,G,5
0351.wav,G:5/5,non_guitar,Jazz_Organ,G,5/5
0352.wav,G#:5,non_guitar,Jazz_Organ,G#,5
0353.wav,G#:5/5,non_guitar,Jazz_Organ,G#,5/5
0354.wav,A:5,non_guitar,Jazz_Organ,A,5
0355.wav,A:5/5,non_guitar,Jazz_Organ,A,5/5
0356.wav,A#:5,non_guitar,Jazz_Organ,A#,5
0357.wav,A#:5/5,non_guitar,Jazz_Organ,A#,5/5
0358.wav,B:5,non_guitar,Jazz_Organ,B,5
0359.wav,B:5/5,non_guitar,Jazz_Organ,B,5/5
0360.wav,C:5,non_guitar,Jazz_Organ,C,5
0361.wav,C:5/5,non_guitar,Jazz_Organ,C,5/5
0362.wav,C#:5,non_guitar,Jazz_Organ,C#,5
0363.wav,C#:5/5,non_guitar,Jazz_Organ,C#,5/5
0364.wav,D:5,non_guitar,Jazz_Organ,D,5
0365.wav,D:5/5,non_guitar,Jazz_Organ,D,5/5
0366.wav,D#:5,non_guitar,Jazz_Organ,D#,5
0367.wav,D#:5/5,non_guitar,Jazz_Organ,D#,5/5
0368.wav,E:5,non_guitar,Jazz_Organ,E,5
0369.wav,E:5/5,non_guitar,Jazz_Organ,E,5/5
0370.wav,F:5,non_guitar,Jazz_Organ,F,5
0371.wav,F:5/5,non_guitar,Jazz_Organ,F,5/5
0372.wav,F#:5,non_guitar,Jazz_Organ,F#,5
0373.wav,F#:5/5,non_guitar,Jazz_Organ,F#,5/5
0374.wav,G:5,non_guitar,Jazz_Organ,G,5
0375.wav,G:5/5,non_guitar,Jazz_Organ,G,5/5
0376.wav,G#:5,non_guitar,Jazz_Organ,G#,5
0377.wav,G#:5/5,non_guitar,Jazz_Organ,G#,5/5
0378.wav,A:5,non_guitar,Jazz_Organ,A,5
0379.wav,A:5/5,non_guitar,Jazz_Organ,A,5/5
0380.wav,A#:5,non_guitar,Jazz_Organ,A#,5
0381.wav,A#:5/5,non_guitar,Jazz_Organ,A#,5/5
0382.wav,B:5,non_guitar,Jazz_Organ,B,5
0383.wav,B:5/5,non_guitar,Jazz_Organ,B,5/5
0384.wav,C:7,non_guitar,Jazz_Organ,C,7
0385.wav,C:7/3,non_guitar,Jazz_Organ,C,7/3
0386.wav,C:7/5,non_guitar,Jazz_Organ,C,7/5
0387.wav,C:7/7,non_guitar,Jazz_Organ,C,7/7
0388.wav,C#:7,non_guitar,Jazz_Organ,C#,7
0389.wav,C#:7/3,non_guitar,Jazz_Organ,C#,7/3
0390.wav,C#:7/5,non_guitar,Jazz_Organ,C#,7/5
0391.wav,C#:7/7,non_guitar,Jazz_Organ,C#,7/7
0392.wav,D:7,non_guitar,Jazz_Organ,D,7
0393.wav,D:7/3,non_guitar,Jazz_Organ,D,7/3
0394.wav,D:7/5,non_guitar,Jazz_Organ,D,7/5
0395.wav,D:7/7,non_guitar,Jazz_Organ,D,7/7
0396.wav,D#:7,non_guitar,Jazz_Organ,D#,7
0397.wav,D#:7/3,non_guitar,Jazz_Organ,D#,7/3
0398.wav,D#:7/5,non_guitar,Jazz_Organ,D#,7/5
0399.wav,D#:7/7,non_guitar,Jazz_Organ,D#,7/7
0400.wav,E:7,non_guitar,Jazz_Organ,E,7
0401.wav,E:7/3,non_guitar,Jazz_Organ,E,7/3
0402.wav,E:7/5,non_guitar,Jazz_Organ,E,7/5
0403.wav,E:7/7,non_guitar,Jazz_Organ,E,7/7
0404.wav,F:7,non_guitar,Jazz_Organ,F,7
