file_name,root_note,chord_type,instrument,0:C,1:C#,2:D,3:D#,4:E,5:F,6:F#,7:G,8:G#,9:A,10:A#,11:B
0017.wav,8,maj/5,non_guitar,2.0,0.8169913,0.42300126,0.46231428,0.9512749,1.5675085,0.8020239,0.8516077,0.69602466,1.2928339,0.619539,0.6084427
0018.wav,9,maj,non_guitar,0.7410015,1.8615484,0.77957284,0.46924254,0.5134091,1.0580834,1.9359186,0.78750336,0.60682976,0.65317,1.4926493,0.6561825
0019.wav,1 9,maj/3,non_guitar,0.64236534,2.0,0.8925799,0.45195255,0.496965,0.8955028,1.6095796,0.8120473,0.79491556,0.7490925,1.7207315,0.8297515
0020.wav,9,maj/5,non_guitar,0.69720227,2.0,0.9109304,0.45760012,0.504598,0.9467871,1.6683288,0.8589411,0.85193,0.67274445,1.2953467,0.718127
0021.wav,10,maj,non_guitar,0.6542794,0.7118033,1.867601,0.71015954,0.39202517,0.44928238,0.9535085,2.0,0.97894347,0.8530576,0.8495031,1.7410442
0022.wav,10,maj/3,non_guitar,0.82636267,0.5500031,2.0,0.80896854,0.29756436,0.30734152,0.69457996,1.4093708,0.7845429,0.6669292,0.64389,1.9014635
0023.wav,10,maj/5,non_guitar,0.61391896,0.7450577,2.0,0.7223721,0.33807197,0.3542714,0.8317326,1.7577124,0.72147,0.73849154,0.74012506,1.3137985
0024.wav,11,maj,non_guitar,1.8328443,0.82907593,0.9404285,1.574383,0.59388787,0.44940683,0.60889816,1.2055982,2.0,0.84951764,0.69172037,0.9369893
0025.wav,11,maj/3,non_guitar,2.0,0.759712,0.749602,1.759424,0.5986172,0.36150762,0.44765705,0.89189696,1.4287498,0.57355285,0.5708976,0.7313937
0026.wav,11,maj/5,non_guitar,1.3298664,0.6378628,0.5858165,1.9653747,0.8850342,0.48032928,0.5738414,1.0893538,1.7396393,0.5490594,0.4675174,0.42204583
0027.wav,0,maj,non_guitar,0.63721776,1.5619729,0.6818754,0.6433071,1.8996456,0.847152,0.5302943,0.5636077,0.90990347,1.8651863,0.84866834,0.7069216
0028.wav,0,maj/3,non_guitar,0.7846827,1.718639,0.6138831,0.76449543,2.0,0.75282896,0.41273814,0.39795583,0.75660086,1.4392742,0.67530113,0.6377432
0029.wav,0,maj/5,non_guitar,0.6371814,1.6588238,0.66213685,0.6862764,1.9900652,0.8140965,0.466626,0.58907765,1.015823,1.6429012,0.6105375,0.52263963
0030.wav,1,maj,non_guitar,0.77683985,0.69139934,1.6992902,0.8912725,0.80863136,1.9329624,1.1581995,0.80965555,0.8132621,1.1943182,1.6455953,0.7154231
0031.wav,1,maj/3,non_guitar,0.6129472,0.78901744,1.7746105,0.6426615,0.82367903,1.9920864,0.6793624,0.44703078,0.45084494,0.8455287,1.2767608,0.5204816
0032.wav,1,maj/5,non_guitar,0.30094963,0.47020537,1.3063276,0.47969985,0.5472233,2.0,0.8105117,0.49733984,0.45588255,0.6592508,1.3127251,0.37909728
0033.wav,2,maj,non_guitar,1.0253656,0.80161536,0.65022445,1.6171397,0.8449609,0.60248584,1.7242246,0.9672383,0.6432722,0.65647614,1.0789225,2.0
0034.wav,2,maj/3,non_guitar,0.54081863,0.5921006,0.53863263,1.3627733,0.7541506,0.68941957,2.0,0.92788815,0.42418534,0.3759936,0.60983795,1.1884944
0035.wav,2,maj/5,non_guitar,0.5988263,0.60662067,0.40408888,1.0602088,0.49924475,0.6562601,2.0,0.68975616,0.29863304,0.3342821,0.69180846,1.3975275
0036.wav,3,maj,non_guitar,1.9598057,0.79424226,0.6181121,0.73515725,1.780071,0.8259866,0.7406951,1.9070525,0.7751913,0.49231076,0.5753875,0.91991985
0037.wav,3,maj/3,non_guitar,1.4006796,0.83011687,0.8134304,0.746299,1.7956232,0.8242973,0.664173,1.8485899,0.80472517,0.5091787,0.48891205,0.8484575
0038.wav,3,maj/5,non_guitar,1.8911949,0.94674766,0.8593214,0.64194965,1.1002467,0.58235466,0.7932067,1.9472426,0.73326486,0.4773367,0.5359068,1.0393683
0039.wav,4,maj,non_guitar,0.9203341,1.8501489,0.89782727,0.8748323,0.7359835,1.5610907,0.6682174,0.6164869,1.8933026,0.9395255,0.6287299,0.63930815
0040.wav,4,maj/3,non_guitar,0.8821424,1.5616426,0.90807545,1.2013185,1.0739768,1.761502,0.5345724,0.72737604,2.0,0.770012,0.42967373,0.43729073
0041.wav,4,maj/5,non_guitar,0.7837426,1.201174,0.6459341,0.73574567,0.68205816,1.4783373,0.5368771,0.7286933,2.0,0.70594597,0.42868993,0.44758433
0042.wav,5,maj,non_guitar,0.43292913,0.81325585,2.0,0.7238939,0.6115124,0.6746486,1.6530595,0.72279596,0.7038821,1.6740518,0.6091913,0.36824924
0043.wav,5,maj/3,non_guitar,0.53938043,1.0530095,1.4978982,0.77766216,0.9358094,0.9138614,2.0,0.73064196,0.7126299,1.8197726,0.7193331,0.4452994
0044.wav,5,maj/5,non_guitar,0.46021113,0.87459284,1.3301394,0.84004885,1.2837783,0.6757694,0.9551061,0.61037207,0.7511612,2.0,0.72950125,0.47221816
0045.wav,6,maj,non_guitar,0.59014386,0.70585346,1.2857375,1.9230819,0.7829502,0.7496658,0.93045396,1.7655668,0.60423994,0.7107272,1.9386429,0.8279614
0046.wav,6,maj/3,non_guitar,0.47197413,0.4971363,0.9987014,1.4031136,0.83920145,1.1356429,0.8100145,1.9926279,0.9626227,0.65201855,1.8997568,0.9084744
0047.wav,6,maj/5,non_guitar,0.45519042,0.5112722,0.90294987,1.5695143,0.7999681,0.85967207,0.6522406,1.2739644,0.66785955,0.7999342,2.0,0.8180052
0048.wav,7,maj,non_guitar,0.66847426,0.5263006,0.593481,1.2710657,2.0,0.7404153,0.6387029,0.6902071,1.6781061,0.6296734,0.56406534,1.3761703
0049.wav,7,maj/3,non_guitar,0.80045444,0.4960686,0.5821395,0.94721985,1.1404052,0.52677065,0.8173562,0.78373194,1.9966775,0.8637323,0.76663136,1.8838863
0050.wav,7,maj/5,non_guitar,0.8630253,0.5749769,0.65917915,1.2836807,1.5947733,0.9059888,0.78889,0.81300676,1.2401875,0.61613536,0.7753975,1.9136622
0051.wav,8,maj,non_guitar,1.5652499,0.71560216,0.46590078,0.56116307,0.9790884,2.0,0.70302486,0.78935826,0.78089154,1.5974711,0.7635115,0.67466897
0052.wav,8,maj/3,non_guitar,1.9804176,0.7335952,0.4384238,0.45981628,0.83687377,1.3085914,0.6459316,0.84066725,0.78531826,1.7476555,0.7078116,0.7611078
0053.wav,8,maj/5,non_guitar,2.0,0.7451698,0.4813115,0.6373859,1.2579746,1.1143773,0.62332696,0.7729485,0.61513895,0.88676775,0.59521234,0.71251464
0054.wav,9,maj,non_guitar,0.71973455,1.6987276,0.7824793,0.53113306,0.89686966,1.1764051,1.7910248,0.9399993,0.9685011,0.7308397,1.3235344,0.6976098
0055.wav,9,maj/3,non_guitar,0.5944901,2.0,0.68174034,0.36557367,0.35607427,0.6600445,1.3137109,0.68512034,0.75737065,0.7047569,1.6301668,0.5777445
0056.wav,9,maj/5,non_guitar,0.774196,1.9082162,0.8130803,0.53526706,0.6528833,1.2829919,1.8780088,1.1218612,1.1023402,0.68963087,0.9845224,0.6285067
0057.wav,10,maj,non_guitar,0.66501987,0.8659625,1.876147,0.7838346,0.6253571,0.6127712,1.0555625,1.9613008,0.8481307,0.7411389,0.7805579,1.427209
0058.wav,10,maj/3,non_guitar,0.62280744,0.6971415,1.9571856,0.67873013,0.39910287,0.46108407,0.65086585,1.0378253,0.6696449,1.0391877,0.8247291,1.6499001
0059.wav,10,maj/5,non_guitar,0.59256625,0.91527414,2.0,0.64415467,0.44125,0.4408899,0.7937222,1.1130521,0.6553486,1.215913,0.6825197,0.8635015
0060.wav,11,maj,non_guitar,1.9178342,0.8101362,0.8604558,1.8661655,0.9231708,0.7422463,0.909382,1.3742557,1.9974946,1.0159312,1.1428285,1.2613503
0061.wav,11,maj/3,non_guitar,2.0,0.79314667,0.6337723,1.7470071,0.86703205,0.5755873,0.60498977,0.9559253,1.3634015,0.8054688,0.8833313,0.82538354
0062.wav,11,maj/5,non_guitar,0.92999816,0.45418847,0.7134968,2.0,0.63295615,0.46374583,0.6631913,1.3427191,1.272678,0.46376973,0.56992096,0.63655853
0063.wav,0,maj,non_guitar,0.92891896,1.7369447,0.8009584,0.7504358,1.7195668,0.8221859,0.74616456,0.8420658,1.2408953,1.8086398,1.1179347,1.0543349
0064.wav,0,maj/3,non_guitar,0.9191892,1.7646103,0.8086195,0.82403755,1.8539298,0.75209737,0.5028531,0.7051723,1.0018028,0.9091337,0.6197394,1.2099565
0065.wav,0,maj/5,non_guitar,0.7166983,1.2815477,0.5829941,0.62732613,2.0,0.7233778,0.39776057,0.5104363,0.9573257,0.97484446,0.57730997,0.71085185
0066.wav,1,maj,non_guitar,0.7910497,0.71826684,1.2447497,0.5931644,1.061315,2.0,0.6937672,0.44595644,0.47111207,0.69758546,1.4339025,0.7339153
0067.wav,1,maj/3,non_guitar,0.72168505,0.8871064,1.6175709,0.6775901,0.77819,1.8556365,0.7643769,0.5100414,0.48081276,0.74601007,0.98760366,0.5921346
0068.wav,1,maj/5,non_guitar,1.1120272,0.8594756,1.821948,0.857819,0.74212015,2.0,0.83002925,0.5476304,0.6647054,1.1552691,1.581704,0.85567623
0069.wav,2,maj,non_guitar,1.0735186,1.11516,0.9299793,1.5443101,0.54284453,0.6796085,1.515015,0.6473185,0.5593989,0.74022025,1.2045419,1.9326246
0070.wav,2,maj/3,non_guitar,0.7553666,0.8499181,1.0254492,1.771035,0.93035734,0.960194,1.926401,0.88529706,0.49650216,0.57737064,1.0813205,1.2737153
0071.wav,2,maj/5,non_guitar,0.6793031,0.66717756,0.6646079,1.6081436,0.8027723,0.8846351,1.9895285,0.8077274,0.5046175,0.57329625,0.871313,0.9662114
0072.wav,3,min,non_guitar,0.8428565,0.5134666,0.9137145,1.2768807,0.5090942,0.4033596,0.66281927,2.0,0.79165864,0.49653333,0.84626424,0.42480928
0073.wav,3,min/3,non_guitar,1.6412479,0.89416736,0.81187093,1.5213828,0.7521621,0.45187995,0.5485463,2.0,1.0351356,0.5490676,1.0573728,0.5569253
0074.wav,3,min/5,non_guitar,1.8020697,0.66578764,0.99144876,1.3553795,0.5872779,0.4255315,0.6833973,2.0,0.77412647,0.49639344,0.66792214,0.80722404
0075.wav,4,min,non_guitar,0.66692376,0.95063096,0.633409,0.8648975,1.5634482,0.66908777,0.45982343,0.7249305,2.0,0.8909339,0.4845699,1.0562716
0076.wav,4,min/3,non_guitar,0.8998681,1.4176234,0.891618,0.9311149,1.9337308,0.9185487,0.4470861,0.5677467,2.0,1.1088796,0.5537307,1.079644
0077.wav,4,min/5,non_guitar,0.5813277,1.41396,0.6775403,0.8064036,1.3493526,0.66393787,0.40770778,0.59718573,2.0,0.8409711,0.49634013,0.590615
0078.wav,5,min,non_guitar,0.85147274,0.5190687,0.8758588,0.5119161,0.8800982,1.5742307,0.5391322,0.33222198,0.55012983,2.0,0.79430044,0.5682999
0079.wav,5,min/3,non_guitar,1.1480671,0.8028066,1.5573525,0.72835594,0.8740524,1.9643908,0.800187,0.42898035,0.62658215,1.9442213,0.7248796,0.47986132
0080.wav,5,min/5,non_guitar,0.7294899,0.7251892,1.5821679,0.7700553,0.9023763,1.5958378,0.8021358,0.5332353,0.6658381,2.0,0.9099097,0.4997173
0081.wav,6,min,non_guitar,0.3852845,0.71347165,0.5635468,1.3554871,0.8222381,1.1965628,1.8037941,0.5660323,0.36873686,0.7374768,1.9639702,0.64286995
0082.wav,6,min/3,non_guitar,0.44672513,0.74711317,0.6137358,1.4655848,0.6995076,1.2596917,2.0,0.48511493,0.21379887,0.47343004,1.5514334,0.54888344
0083.wav,6,min/5,non_guitar,0.5338829,0.72199255,0.60214615,1.3922596,0.6864648,0.6486473,1.3671641,0.715643,0.42821908,0.54712564,2.0,0.93111587
0084.wav,7,min,non_guitar,0.7229556,0.3385832,0.6944908,0.7142434,1.6687361,0.8785707,0.9765794,1.7068645,0.68817735,0.495613,0.7661931,2.0
0085.wav,7,min/3,non_guitar,0.68888694,0.41556782,0.8996513,0.7269769,1.5382917,0.7367307,1.2711937,1.8283222,0.6111859,0.3803203,0.73969775,1.9856362
0086.wav,7,min/5,non_guitar,0.94387466,0.47677964,0.7439834,0.73171747,1.8500502,0.9723572,1.1025089,1.8389829,0.96845025,0.52817327,0.6155051,1.9699049
0087.wav,8,min,non_guitar,1.9718904,0.9517045,0.5212728,0.70182914,0.780165,1.8066514,0.932037,1.2586124,1.9946799,0.830045,0.59570694,0.8166841
0088.wav,8,min/3,non_guitar,1.9272969,0.76270545,0.44865376,0.7114116,0.58114594,1.3692203,0.73489046,0.99185514,1.913481,0.61075747,0.31324658,0.5013311
0089.wav,8,min/5,non_guitar,2.0,0.79869926,0.50119513,0.66793996,0.57609314,1.388197,0.66265744,0.8345803,1.4012884,0.52054256,0.38820422,0.6752347
0090.wav,9,min,non_guitar,0.6973853,2.0,0.9859787,0.63473874,0.9158037,0.7858876,1.794682,0.9506917,1.0356691,1.8253641,0.82513666,0.53936255
0091.wav,9,min/3,non_guitar,0.565509,1.5673318,0.7291485,0.51908994,0.89156264,0.6516009,1.5006294,0.8410888,1.0722817,2.0,0.77854,0.43457955
0092.wav,9,min/5,non_guitar,0.66060245,2.0,0.7608111,0.47895432,0.63552636,0.7201665,1.7708735,0.7265774,0.88918567,1.3861437,0.5392606,0.3461811
0093.wav,10,min,non_guitar,0.30186886,0.45444295,1.8130186,1.0066147,0.5975416,0.67998743,0.60397214,1.9001275,1.1533136,0.9795886,1.6968141,0.7028249
0094.wav,10,min/3,non_guitar,0.36741847,0.6639157,1.9721024,0.81913245,0.619228,0.74405193,0.70356685,1.5364666,0.7230302,0.8293651,1.6384997,0.56807345
0095.wav,10,min/5,non_guitar,0.36427638,0.8236618,2.0,0.61773896,0.49769443,0.5711621,0.7677908,1.4341989,0.61998653,0.95282984,1.3188376,0.46333447
0096.wav,11,min,non_guitar,0.8927784,0.50057995,0.6666736,1.8714868,1.0040724,0.6119783,1.0345141,0.888527,2.0,0.799183,0.57181704,1.6421182
0097.wav,11,min/3,non_guitar,0.7704232,0.5396777,0.84016275,1.9387331,0.8277967,0.70766187,1.0827165,0.9070098,1.5466129,0.6603738,0.9227862,1.9804313
0098.wav,11,min/5,non_guitar,0.51356375,0.36823875,0.58507496,2.0,0.9782402,0.54005367,0.56269383,0.5658805,1.4930731,0.59996617,0.55196375,1.1528989
0099.wav,0,min,non_guitar,1.906007,0.80133414,0.53902924,0.7251029,1.7570004,0.7890781,0.5239295,0.7352925,0.8142296,1.8372142,1.1251652,1.2005719
0100.wav,0,min/3,non_guitar,2.0,0.7241912,0.48479575,0.7861794,1.9330776,0.79469854,0.54232633,0.83813304,0.7556832,1.3615594,0.72206604,0.9328404
0101.wav,0,min/5,non_guitar,1.175632,0.55933845,0.43134758,0.704777,2.0,0.69101936,0.3637557,0.5717254,0.5236043,1.213388,0.57234836,0.6135552
0102.wav,1,min,non_guitar,0.7842847,1.8984511,0.6232086,0.27261776,0.4794181,1.9860389,0.90661937,0.5116225,0.72256255,0.78351533,1.971123,0.7962655
0103.wav,1,min/3,non_guitar,1.2614012,2.0,0.5573006,0.29347172,0.5796697,1.7286528,0.7288093,0.5575132,0.8457955,0.6703898,1.4135783,0.8284426
0104.wav,1,min/5,non_guitar,0.86140215,1.394182,0.6370807,0.47858524,0.7756287,2.0,0.8155409,0.5782159,0.90920526,0.65317905,1.3458884,0.7309852
0105.wav,2,min,non_guitar,0.9513496,1.0099664,1.7093523,0.58855605,0.3815124,0.66065764,1.9633402,0.6734706,0.35109484,0.5999115,0.5990361,1.883079
0106.wav,2,min/3,non_guitar,0.59737664,0.7894958,1.6029279,0.86435914,0.54094434,0.7319042,2.0,0.79122317,0.32391572,0.50017613,0.38827634,0.9949503
0107.wav,2,min/5,non_guitar,0.68659294,0.7830051,1.3420548,0.6940731,0.5413327,0.7920705,2.0,0.7986275,0.4968023,0.57119936,0.5991518,1.1598533
0108.wav,3,min,non_guitar,1.9665445,0.87318003,1.0862395,1.6205418,0.63112944,0.38002098,0.5448787,1.6272156,0.70596486,0.3922322,0.61426395,0.78405637
0109.wav,3,min/3,non_guitar,1.9265953,0.9456675,0.9189294,1.7529118,0.86256146,0.43934217,0.64575386,1.9110886,0.7288735,0.35067657,0.6838716,0.7794057
0110.wav,3,min/5,non_guitar,1.8272731,1.001168,0.9194863,1.0925756,0.69461167,0.53889453,0.7721702,2.0,0.77574396,0.4556783,0.676285,0.73649967
0111.wav,4,min,non_guitar,0.75149703,1.7064397,0.68120736,1.0128062,1.8432994,0.7623457,0.56295264,0.9247154,1.9047654,0.6803249,0.5866751,0.58912563
0112.wav,4,min/3,non_guitar,0.56192696,1.1545438,0.6315676,0.7728121,2.0,0.79216385,0.46800944,0.7194104,1.8816378,0.7188536,0.40525675,0.4775598
0113.wav,4,min/5,non_guitar,0.88952124,1.6577103,0.69099426,0.88016665,1.520376,0.79180175,0.64931405,0.87019527,2.0,0.7340177,0.6092527,1.0997353
0114.wav,5,min,non_guitar,0.7092853,0.74717677,1.6009752,0.9658356,1.5622272,1.7604392,0.6521069,0.5005269,0.5522803,1.4494708,0.83548045,0.71752644
0115.wav,5,min/3,non_guitar,0.71967113,0.5711593,1.5163827,0.8063392,1.2169528,1.9194381,0.5811664,0.34882134,0.66322106,1.8748624,0.7755241,0.5710319
0116.wav,5,min/5,non_guitar,0.7848437,0.6202327,1.3380291,0.6885808,1.0552294,1.7060328,0.59092695,0.42156205,0.62450945,2.0,0.84166175,0.52046585
0117.wav,6,min,non_guitar,0.7882776,0.93121564,0.9366697,1.860369,0.78222096,1.091022,1.8921319,0.8769529,0.5189513,0.5279409,1.6069591,0.99489903
0118.wav,6,min/3,non_guitar,0.61279625,0.9267901,0.6109913,1.2455461,0.84370404,1.0409906,2.0,0.70867634,0.43408954,0.6105034,1.768272,0.7905848
0119.wav,6,min/5,non_guitar,0.58427954,0.75824416,0.6556641,1.4937372,0.6871612,0.6386649,1.0385239,0.56818825,0.41613317,0.64276385,2.0,0.9297061
0120.wav,7,min,non_guitar,0.9227998,0.6044409,0.7648936,0.65705216,1.7907004,1.0266291,1.1985848,1.8747426,0.9708065,0.5535139,0.5761558,1.5422962
0121.wav,7,min/3,non_guitar,0.83136404,0.5773715,0.7022561,0.73970485,1.4963548,0.7821343,1.2440308,2.0,0.63255286,0.36036518,0.508062,1.6434591
0122.wav,7,min/5,non_guitar,0.869686,0.6775045,0.92461956,0.8453939,1.7349384,0.7792318,0.9128063,1.1337423,0.55062604,0.4365256,0.7314017,2.0
0123.wav,8,min,non_guitar,2.0,0.70940244,0.41955125,0.6599979,0.63480055,1.5604848,0.83939826,0.91325593,1.5512555,0.54101837,0.4169078,0.71444225
0124.wav,8,min/3,non_guitar,2.0,0.7908697,0.5338733,0.6861549,0.65275764,0.8221209,0.67560995,1.1668154,1.4600265,0.5388009,0.3563131,0.7279368
0125.wav,8,min/5,non_guitar,2.0,0.6859851,0.49292338,0.6847384,0.6159896,1.1170094,0.48862296,0.61021054,0.7808805,0.35789794,0.30092642,0.6222051
0126.wav,9,min,non_guitar,0.7452307,1.8292227,0.8381952,0.6443602,1.1117626,0.95819205,2.0,1.0824792,1.2615252,1.7901509,0.6649477,0.45077643
0127.wav,9,min/3,non_guitar,0.8162399,1.8961239,0.8253185,0.58588696,0.86624277,0.7267648,1.3286839,1.0452181,1.24623,1.9565874,0.6600665,0.48941392
0128.wav,9,min/5,non_guitar,0.5921638,2.0,0.6610726,0.38256812,0.59703887,0.3806383,0.8388798,0.6001707,0.6880572,0.90143347,0.45392647,0.32647896
0129.wav,10,min,non_guitar,0.6279284,0.98024654,1.7118503,0.4777423,0.47826403,0.5328753,0.64843833,1.9179254,0.9336128,1.2072332,1.6173003,0.72070456
0130.wav,10,min/3,non_guitar,0.5804438,0.8947568,2.0,0.8490958,0.67432547,1.0678009,0.6885898,1.192616,0.8245672,1.0161672,1.8153763,0.7589748
0131.wav,10,min/5,non_guitar,0.48638064,0.79185563,2.0,0.716537,0.7916398,1.3706523,0.83657116,1.2924656,0.70504427,0.96899354,0.802868,0.4794821
0132.wav,11,min,non_guitar,0.57569325,0.43325198,0.52612877,1.4232221,0.65702945,0.54008114,0.83601,0.77781755,2.0,0.8591542,0.7568854,1.2813637
0133.wav,11,min/3,non_guitar,0.81994915,0.6397749,0.92069805,1.9619387,0.78518975,0.5491565,0.77841353,0.6928646,1.2159998,0.8102685,1.2573879,1.9078548
0134.wav,11,min/5,non_guitar,0.836815,0.6060559,0.9694649,1.910157,0.8372303,0.7711346,1.6462065,1.2693287,1.569305,0.7869586,1.4387348,1.7986577
0135.wav,0,min,non_guitar,2.0,0.7756527,0.4958845,0.6502203,1.5339887,0.6140579,0.43614942,0.9035769,0.7985304,1.6395066,0.812881,1.0855488
0136.wav,0,min/3,non_guitar,1.9916482,0.7747097,0.4625506,0.73660475,1.9195963,0.7341173,0.65945506,1.108603,0.7031095,1.0796896,0.617113,1.1495779
0137.wav,0,min/5,non_guitar,1.0580249,0.5486795,0.45024657,0.840238,2.0,0.7469388,0.5166658,0.86680114,0.582545,1.0311164,0.72864234,0.873881
0138.wav,1,min,non_guitar,1.1829492,1.9764413,0.77755404,0.4401062,0.61440825,1.5597452,0.80386245,0.5979603,0.895993,0.80315036,1.8052042,0.8784287
0139.wav,1,min/3,non_guitar,1.3420591,2.0,0.756516,0.52620363,0.75030255,1.4681118,0.5728973,0.4290698,0.6781455,0.59356725,0.8210618,0.69193137
0140.wav,1,min/5,non_guitar,0.9664805,1.1148303,0.59877723,0.4823913,0.80723345,2.0,0.68658656,0.629283,0.89497924,0.49973142,0.81713176,0.643185
0141.wav,2,min,non_guitar,0.9961755,1.4541373,1.975518,0.8991266,1.0406909,1.2663214,1.8223484,0.85335016,0.8307158,1.1541123,0.9559745,1.8612856
0142.wav,2,min/3,non_guitar,0.61593,1.1466354,2.0,0.63535696,0.4627601,0.7152111,1.712771,0.6510503,0.39433813,0.41232178,0.50781065,0.75349027
0143.wav,2,min/5,non_guitar,0.7988058,1.4853878,1.8219041,0.999544,0.73350096,0.83550084,1.7760317,0.72950065,0.64138573,1.0864496,0.8853202,1.6186852
0144.wav,3,maj7,non_guitar,1.1231682,0.47787106,0.6846731,0.7310482,1.4770973,0.5975675,0.80955446,1.8750285,0.8669152,0.62085044,0.7773169,2.0
0145.wav,3,maj7/3,non_guitar,1.7125392,0.7029491,0.7799233,0.6358901,1.5183964,0.70615476,0.79915416,1.7207239,0.86351264,0.59751034,0.8175961,2.0
0146.wav,3,maj7/5,non_guitar,1.6178726,0.7264786,0.9950062,0.78497785,1.563067,0.6580928,1.0261371,2.0,0.7767821,0.47073394,0.6770607,1.8395057
0147.wav,3,maj7/7,non_guitar,1.9692955,0.7037929,0.705325,0.7036133,1.5014637,0.7249855,1.1270878,1.7934852,0.67092335,0.47279227,0.6811346,1.9982834
0148.wav,4,maj7,non_guitar,1.8654317,1.0921607,0.5857059,0.5692471,0.6287981,1.5862842,0.79639107,1.0076284,1.9805377,0.65540445,0.3784908,0.614132
0149.wav,4,maj7/3,non_guitar,2.0,1.3390198,0.5524992,0.5485229,0.6288116,1.5711298,0.7634126,0.9444523,1.7061245,0.5605892,0.45729584,0.8466996
0150.wav,4,maj7/5,non_guitar,1.9214566,1.569031,0.6300676,0.75749236,0.58309305,1.3219697,0.78880084,0.95719504,2.0,0.9170668,0.6418846,0.8653403
0151.wav,4,maj7/7,non_guitar,1.9856651,1.710704,0.75020885,0.68854797,0.7180531,1.6896896,0.7051884,0.7108836,1.7918634,0.87586427,0.60788953,0.8661672
0152.wav,5,maj7,non_guitar,0.6492411,1.5093951,1.0046116,0.62479,0.7112299,0.7711902,1.611443,0.7493799,1.1486881,2.0,0.4923458,0.35562247
0153.wav,5,maj7/3,non_guitar,0.59073246,1.9224122,1.9365919,0.71869594,0.64563584,0.6840497,1.9743891,1.0290968,0.8420042,1.9254737,0.90294516,0.48016596
0154.wav,5,maj7/5,non_guitar,0.9690312,1.7952969,1.571635,0.5590875,0.77403605,0.77676046,1.4744325,0.75625736,0.9375484,2.0,0.779132,0.6293787
0155.wav,5,maj7/7,non_guitar,0.69977576,2.0,1.5785854,0.5770604,0.6778793,0.7314403,1.5156956,0.5795852,0.78543115,1.3198292,0.557603,0.39481935
0156.wav,6,maj7,non_guitar,0.4769291,0.6910641,1.7689276,1.480541,0.8210647,0.94686794,0.7581676,1.6293509,0.69910353,0.79793584,2.0,0.9726635
