,file_name,label,instrument,type_of_sound
130,0130.wav,G:min/3,non_guitar,Jazz_Organ
131,0131.wav,G:min/5,non_guitar,Jazz_Organ
132,0132.wav,G#:min,non_guitar,Jazz_Organ
133,0133.wav,G#:min/3,non_guitar,Jazz_Organ
134,0134.wav,G#:min/5,non_guitar,Jazz_Organ
135,0135.wav,A:min,non_guitar,Jazz_Organ
136,0136.wav,A:min/3,non_guitar,Jazz_Organ
137,0137.wav,A:min/5,non_guitar,Jazz_Organ
138,0138.wav,A#:min,non_guitar,Jazz_Organ
139,0139.wav,A#:min/3,non_guitar,Jazz_Organ
140,0140.wav,A#:min/5,non_guitar,Jazz_Organ
141,0141.wav,B:min,non_guitar,Jazz_Organ
142,0142.wav,B:min/3,non_guitar,Jazz_Organ
143,0143.wav,B:min/5,non_guitar,Jazz_Organ
144,0144.wav,C:maj7,non_guitar,Jazz_Organ
145,0145.wav,C:maj7/3,non_guitar,Jazz_Organ
146,0146.wav,C:maj7/5,non_guitar,Jazz_Organ
147,0147.wav,C:maj7/7,non_guitar,Jazz_Organ
148,0148.wav,C#:maj7,non_guitar,Jazz_Organ
149,0149.wav,C#:maj7/3,non_guitar,Jazz_Organ
150,0150.wav,C#:maj7/5,non_guitar,Jazz_Organ
151,0151.wav,C#:maj7/7,non_guitar,Jazz_Organ
152,0152.wav,D:maj7,non_guitar,Jazz_Organ
153,0153.wav,D:maj7/3,non_guitar,Jazz_Organ
154,0154.wav,D:maj7/5,non_guitar,Jazz_Organ
155,0155.wav,D:maj7/7,non_guitar,Jazz_Organ
156,0156.wav,D#:maj7,non_guitar,Jazz_Organ
157,0157.wav,D#:maj7/3,non_guitar,Jazz_Organ
158,0158.wav,D#:maj7/5,non_guitar,Jazz_Organ
159,0159.wav,D#:maj7/7,non_guitar,Jazz_Organ
160,0160.wav,E:maj7,non_guitar,Jazz_Organ
161,0161.wav,E:maj7/3,non_guitar,Jazz_Organ
162,0162.wav,E:maj7/5,non_guitar,Jazz_Organ
163,0163.wav,E:maj7/7,non_guitar,Jazz_Organ
164,0164.wav,F:maj7,non_guitar,Jazz_Organ
165,0165.wav,F:maj7/3,non_guitar,Jazz_Organ
166,0166.wav,F:maj7/5,non_guitar,Jazz_Organ
167,0167.wav,F:maj7/7,non_guitar,Jazz_Organ
168,0168.wav,F#:maj7,non_guitar,Jazz_Organ
169,0169.wav,F#:maj7/3,non_guitar,Jazz_Organ
170,0170.wav,F#:maj7/5,non_guitar,Jazz_Organ
171,0171.wav,F#:maj7/7,non_guitar,Jazz_Organ
172,0172.wav,G:maj7,non_guitar,Jazz_Organ
173,0173.wav,G:maj7/3,non_guitar,Jazz_Organ
174,0174.wav,G:maj7/5,non_guitar,Jazz_Organ
175,0175.wav,G:maj7/7,non_guitar,Jazz_Organ
176,0176.wav,G#:maj7,non_guitar,Jazz_Organ
177,0177.wav,G#:maj7/3,non_guitar,Jazz_Organ
178,0178.wav,G#:maj7/5,non_guitar,Jazz_Organ
179,0179.wav,G#:maj7/7,non_guitar,Jazz_Organ
180,0180.wav,A:maj7,non_guitar,Jazz_Organ
181,0181.wav,A:maj7/3,non_guitar,Jazz_Organ
182,0182.wav,A:maj7/5,non_guitar,Jazz_Organ
183,0183.wav,A:maj7/7,non_guitar,Jazz_Organ
184,0184.wav,A#:maj7,non_guitar,Jazz_Organ
185,0185.wav,A#:maj7/3,non_guitar,Jazz_Organ
186,0186.wav,A#:maj7/5,non_guitar,Jazz_Organ
187,0187.wav,A#:maj7/7,non_guitar,Jazz_Organ
188,0188.wav,B:maj7,non_guitar,Jazz_Organ
189,0189.wav,B:maj7/3,non_guitar,Jazz_Organ
190,0190.wav,B:maj7/5,non_guitar,Jazz_Organ
191,0191.wav,B:maj7/7,non_guitar,Jazz_Organ
192,0192.wav,C:maj7,non_guitar,Jazz_Organ
193,0193.wav,C:maj7/3,non_guitar,Jazz_Organ
194,0194.wav,C:maj7/5,non_guitar,Jazz_Organ
195,0195.wav,C:maj7/7,non_guitar,Jazz_Organ
196,0196.wav,C#:maj7,non_guitar,Jazz_Organ
197,0197.wav,C#:maj7/3,non_guitar,Jazz_Organ
198,0198.wav,C#:maj7/5,non_guitar,Jazz_Organ
199,0199.wav,C#:maj7/7,non_guitar,Jazz_Organ
200,0200.wav,D:maj7,non_guitar,Jazz_Organ
201,0201.wav,D:maj7/3,non_guitar,Jazz_Organ
202,0202.wav,D:maj7/5,non_guitar,Jazz_Organ
203,0203.wav,D:maj7/7,non_guitar,Jazz_Organ
204,0204.wav,D#:maj7,non_guitar,Jazz_Organ
205,0205.wav,D#:maj7/3,non_guitar,Jazz_Organ
206,0206.wav,D#:maj7/5,non_guitar,Jazz_Organ
207,0207.wav,D#:maj7/7,non_guitar,Jazz_Organ
208,0208.wav,E:maj7,non_guitar,Jazz_Organ
209,0209.wav,E:maj7/3,non_guitar,Jazz_Organ
210,0210.wav,E:maj7/5,non_guitar,Jazz_Organ
211,0211.wav,E:maj7/7,non_guitar,Jazz_Organ
212,0212.wav,F:maj7,non_guitar,Jazz_Organ
213,0213.wav,F:maj7/3,non_guitar,Jazz_Organ
214,0214.wav,F:maj7/5,non_guitar,Jazz_Organ
215,0215.wav,F:maj7/7,non_guitar,Jazz_Organ
216,0216.wav,F#:maj7,non_guitar,Jazz_Organ
217,0217.wav,F#:maj7/3,non_guitar,Jazz_Organ
218,0218.wav,F#:maj7/5,non_guitar,Jazz_Organ
219,0219.wav,F#:maj7/7,non_guitar,Jazz_Organ
220,0220.wav,G:maj7,non_guitar,Jazz_Organ
221,0221.wav,G:maj7/3,non_guitar,Jazz_Organ
222,0222.wav,G:maj7/5,non_guitar,Jazz_Organ
223,0223.wav,G:maj7/7,non_guitar,Jazz_Organ
224,0224.wav,G#:maj7,non_guitar,Jazz_Organ
225,0225.wav,G#:maj7/3,non_guitar,Jazz_Organ
226,0226.wav,G#:maj7/5,non_guitar,Jazz_Organ
227,0227.wav,G#:maj7/7,non_guitar,Jazz_Organ
228,0228.wav,A:maj7,non_guitar,Jazz_Organ
229,0229.wav,A:maj7/3,non_guitar,Jazz_Organ
230,0230.wav,A:maj7/5,non_guitar,Jazz_Organ
231,0231.wav,A:maj7/7,non_guitar,Jazz_Organ
232,0232.wav,A#:maj7,non_guitar,Jazz_Organ
233,0233.wav,A#:maj7/3,non_guitar,Jazz_Organ
234,0234.wav,A#:maj7/5,non_guitar,Jazz_Organ
235,0235.wav,A#:maj7/7,non_guitar,Jazz_Organ
236,0236.wav,B:maj7,non_guitar,Jazz_Organ
237,0237.wav,B:maj7/3,non_guitar,Jazz_Organ
238,0238.wav,B:maj7/5,non_guitar,Jazz_Organ
239,0239.wav,B:maj7/7,non_guitar,Jazz_Organ
240,0240.wav,C:min7,non_guitar,Jazz_Organ
241,0241.wav,C:min7/3,non_guitar,Jazz_Organ
242,0242.wav,C:min7/5,non_guitar,Jazz_Organ
243,0243.wav,C:min7/7,non_guitar,Jazz_Organ
244,0244.wav,C#:min7,non_guitar,Jazz_Organ
245,0245.wav,C#:min7/3,non_guitar,Jazz_Organ
246,0246.wav,C#:min7/5,non_guitar,Jazz_Organ
247,0247.wav,C#:min7/7,non_guitar,Jazz_Organ
248,0248.wav,D:min7,non_guitar,Jazz_Organ
249,0249.wav,D:min7/3,non_guitar,Jazz_Organ
250,0250.wav,D:min7/5,non_guitar,Jazz_Organ
251,0251.wav,D:min7/7,non_guitar,Jazz_Organ
252,0252.wav,D#:min7,non_guitar,Jazz_Organ
253,0253.wav,D#:min7/3,non_guitar,Jazz_Organ
254,0254.wav,D#:min7/5,non_guitar,Jazz_Organ
255,0255.wav,D#:min7/7,non_guitar,Jazz_Organ
256,0256.wav,E:min7,non_guitar,Jazz_Organ
257,0257.wav,E:min7/3,non_guitar,Jazz_Organ
258,0258.wav,E:min7/5,non_guitar,Jazz_Organ
259,0259.wav,E:min7/7,non_guitar,Jazz_Organ
260,0260.wav,F:min7,non_guitar,Jazz_Organ
261,0261.wav,F:min7/3,non_guitar,Jazz_Organ
262,0262.wav,F:min7/5,non_guitar,Jazz_Organ
263,0263.wav,F:min7/7,non_guitar,Jazz_Organ
264,0264.wav,F#:min7,non_guitar,Jazz_Organ
265,0265.wav,F#:min7/3,non_guitar,Jazz_Organ
266,0266.wav,F#:min7/5,non_guitar,Jazz_Organ
267,0267.wav,F#:min7/7,non_guitar,Jazz_Organ
268,0268.wav,G:min7,non_guitar,Jazz_Organ
269,0269.wav,G:min7/3,non_guitar,Jazz_Organ
270,0270.wav,G:min7/5,non_guitar,Jazz_Organ
271,0271.wav,G:min7/7,non_guitar,Jazz_Organ
272,0272.wav,G#:min7,non_guitar,Jazz_Organ
273,0273.wav,G#:min7/3,non_guitar,Jazz_Organ
274,0274.wav,G#:min7/5,non_guitar,Jazz_Organ
275,0275.wav,G#:min7/7,non_guitar,Jazz_Organ
276,0276.wav,A:min7,non_guitar,Jazz_Organ
277,0277.wav,A:min7/3,non_guitar,Jazz_Organ
278,0278.wav,A:min7/5,non_guitar,Jazz_Organ
279,0279.wav,A:min7/7,non_guitar,Jazz_Organ
280,0280.wav,A#:min7,non_guitar,Jazz_Organ
281,0281.wav,A#:min7/3,non_guitar,Jazz_Organ
282,0282.wav,A#:min7/5,non_guitar,Jazz_Organ
283,0283.wav,A#:min7/7,non_guitar,Jazz_Organ
284,0284.wav,B:min7,non_guitar,Jazz_Organ
285,0285.wav,B:min7/3,non_guitar,Jazz_Organ
286,0286.wav,B:min7/5,non_guitar,Jazz_Organ
287,0287.wav,B:min7/7,non_guitar,Jazz_Organ
288,0288.wav,C:min7,non_guitar,Jazz_Organ
289,0289.wav,C:min7/3,non_guitar,Jazz_Organ
290,0290.wav,C:min7/5,non_guitar,Jazz_Organ
291,0291.wav,C:min7/7,non_guitar,Jazz_Organ
292,0292.wav,C#:min7,non_guitar,Jazz_Organ
293,0293.wav,C#:min7/3,non_guitar,Jazz_Organ
294,0294.wav,C#:min7/5,non_guitar,Jazz_Organ
295,0295.wav,C#:min7/7,non_guitar,Jazz_Organ
296,0296.wav,D:min7,non_guitar,Jazz_Organ
297,0297.wav,D:min7/3,non_guitar,Jazz_Organ
298,0298.wav,D:min7/5,non_guitar,Jazz_Organ
299,0299.wav,D:min7/7,non_guitar,Jazz_Organ
300,0300.wav,D#:min7,non_guitar,Jazz_Organ
301,0301.wav,D#:min7/3,non_guitar,Jazz_Organ
302,0302.wav,D#:min7/5,non_guitar,Jazz_Organ
303,0303.wav,D#:min7/7,non_guitar,Jazz_Organ
304,0304.wav,E:min7,non_guitar,Jazz_Organ
305,0305.wav,E:min7/3,non_guitar,Jazz_Organ
306,0306.wav,E:min7/5,non_guitar,Jazz_Organ
307,0307.wav,E:min7/7,non_guitar,Jazz_Organ
308,0308.wav,F:min7,non_guitar,Jazz_Organ
309,0309.wav,F:min7/3,non_guitar,Jazz_Organ
310,0310.wav,F:min7/5,non_guitar,Jazz_Organ
311,0311.wav,F:min7/7,non_guitar,Jazz_Organ
312,0312.wav,F#:min7,non_guitar,Jazz_Organ
313,0313.wav,F#:min7/3,non_guitar,Jazz_Organ
314,0314.wav,F#:min7/5,non_guitar,Jazz_Organ
315,0315.wav,F#:min7/7,non_guitar,Jazz_Organ
316,0316.wav,G:min7,non_guitar,Jazz_Organ
317,0317.wav,G:min7/3,non_guitar,Jazz_Organ
318,0318.wav,G:min7/5,non_guitar,Jazz_Organ
319,0319.wav,G:min7/7,non_guitar,Jazz_Organ
320,0320.wav,G#:min7,non_guitar,Jazz_Organ
321,0321.wav,G#:min7/3,non_guitar,Jazz_Organ
322,0322.wav,G#:min7/5,non_guitar,Jazz_Organ
323,0323.wav,G#:min7/7,non_guitar,Jazz_Organ
324,0324.wav,A:min7,non_guitar,Jazz_Organ
325,0325.wav,A:min7/3,non_guitar,Jazz_Organ
326,0326.wav,A:min7/5,non_guitar,Jazz_Organ
327,0327.wav,A:min7/7,non_guitar,Jazz_Organ
328,0328.wav,A#:min7,non_guitar,Jazz_Organ
329,0329.wav,A#:min7/3,non_guitar,Jazz_Organ
330,0330.wav,A#:min7/5,non_guitar,Jazz_Organ
331,0331.wav,A#:min7/7,non_guitar,Jazz_Organ
332,0332.wav,B:min7,non_guitar,Jazz_Organ
333,0333.wav,B:min7/3,non_guitar,Jazz_Organ
334,0334.wav,B:min7/5,non_guitar,Jazz_Organ
335,0335.wav,B:min7/7,non_guitar,Jazz_Organ
336,0336.wav,C:5,non_guitar,Jazz_Organ
337,0337.wav,C:5/5,non_guitar,Jazz_Organ
338,0338.wav,C#:5,non_guitar,Jazz_Organ
339,0339.wav,C#:5/5,non_guitar,Jazz_Organ
340,0340.wav,D:5,non_guitar,Jazz_Organ
341,0341.wav,D:5/5,non_guitar,Jazz_Organ
342,0342.wav,D#:5,non_guitar,Jazz_Organ
343,0343.wav,D#:5/5,non_guitar,Jazz_Organ
344,0344.wav,E:5,non_guitar,Jazz_Organ
345,0345.wav,E:5/5,non_guitar,Jazz_Organ
346,0346.wav,F:5,non_guitar,Jazz_Organ
347,0347.wav,F:5/5,non_guitar,Jazz_Organ
348,0348.wav,F#:5,non_guitar,Jazz_Organ
349,0349.wav,F#:5/5,non_guitar,Jazz_Organ
350,0350.wav,G:5,non_guitar,Jazz_Organ
351,0351.wav,G:5/5,non_guitar,Jazz_Organ
352,0352.wav,G#:5,non_guitar,Jazz_Organ
353,0353.wav,G#:5/5,non_guitar,Jazz_Organ
354,0354.wav,A:5,non_guitar,Jazz_Organ
355,0355.wav,A:5/5,non_guitar,Jazz_Organ
356,0356.wav,A#:5,non_guitar,Jazz_Organ
357,0357.wav,A#:5/5,non_guitar,Jazz_Organ
358,0358.wav,B:5,non_guitar,Jazz_Organ
359,0359.wav,B:5/5,non_guitar,Jazz_Organ
360,0360.wav,C:5,non_guitar,Jazz_Organ
361,0361.wav,C:5/5,non_guitar,Jazz_Organ
362,0362.wav,C#:5,non_guitar,Jazz_Organ
363,0363.wav,C#:5/5,non_guitar,Jazz_Organ
364,0364.wav,D:5,non_guitar,Jazz_Organ
365,0365.wav,D:5/5,non_guitar,Jazz_Organ
366,0366.wav,D#:5,non_guitar,Jazz_Organ
367,0367.wav,D#:5/5,non_guitar,Jazz_Organ
368,0368.wav,E:5,non_guitar,Jazz_Organ
369,0369.wav,E:5/5,non_guitar,Jazz_Organ
370,0370.wav,F:5,non_guitar,Jazz_Organ
371,0371.wav,F:5/5,non_guitar,Jazz_Organ
372,0372.wav,F#:5,non_guitar,Jazz_Organ
373,0373.wav,F#:5/5,non_guitar,Jazz_Organ
374,0374.wav,G:5,non_guitar,Jazz_Organ
375,0375.wav,G:5/5,non_guitar,Jazz_Organ
376,0376.wav,G#:5,non_guitar,Jazz_Organ
377,0377.wav,G#:5/5,non_guitar,Jazz_Organ
378,0378.wav,A:5,non_guitar,Jazz_Organ
379,0379.wav,A:5/5,non_guitar,Jazz_Organ
380,0380.wav,A#:5,non_guitar,Jazz_Organ
381,0381.wav,A#:5/5,non_guitar,Jazz_Organ
382,0382.wav,B:5,non_guitar,Jazz_Organ
383,0383.wav,B:5/5,non_guitar,Jazz_Organ
384,0384.wav,C:7,non_guitar,Jazz_Organ
385,0385.wav,C:7/3,non_guitar,Jazz_Organ
386,0386.wav,C:7/5,non_guitar,Jazz_Organ
387,0387.wav,C:7/7,non_guitar,Jazz_Organ
388,0388.wav,C#:7,non_guitar,Jazz_Organ
389,0389.wav,C#:7/3,non_guitar,Jazz_Organ
390,0390.wav,C#:7/5,non_guitar,Jazz_Organ
391,0391.wav,C#:7/7,non_guitar,Jazz_Organ
392,0392.wav,D:7,non_guitar,Jazz_Organ
393,0393.wav,D:7/3,non_guitar,Jazz_Organ
394,0394.wav,D:7/5,non_guitar,Jazz_Organ
395,0395.wav,D:7/7,non_guitar,Jazz_Organ
396,0396.wav,D#:7,non_guitar,Jazz_Organ
397,0397.wav,D#:7/3,non_guitar,Jazz_Organ
398,0398.wav,D#:7/5,non_guitar,Jazz_Organ
399,0399.wav,D#:7/7,non_guitar,Jazz_Organ
400,0400.wav,E:7,non_guitar,Jazz_Organ
401,0401.wav,E:7/3,non_guitar,Jazz_Organ
402,0402.wav,E:7/5,non_guitar,Jazz_Organ
403,0403.wav,E:7/7,non_guitar,Jazz_Organ
404,0404.wav,F:7,non_guitar,Jazz_Organ
405,0405.wav,F:7/3,non_guitar,Jazz_Organ
406,0406.wav,F:7/5,non_guitar,Jazz_Organ
407,0407.wav,F:7/7,non_guitar,Jazz_Organ
408,0408.wav,F#:7,non_guitar,Jazz_Organ
409,0409.wav,F#:7/3,non_guitar,Jazz_Organ
410,0410.wav,F#:7/5,non_guitar,Jazz_Organ
411,0411.wav,F#:7/7,non_guitar,Jazz_Organ
412,0412.wav,G:7,non_guitar,Jazz_Organ
413,0413.wav,G:7/3,non_guitar,Jazz_Organ
414,0414.wav,G:7/5,non_guitar,Jazz_Organ
415,0415.wav,G:7/7,non_guitar,Jazz_Organ
416,0416.wav,G#:7,non_guitar,Jazz_Organ
417,0417.wav,G#:7/3,non_guitar,Jazz_Organ
418,0418.wav,G#:7/5,non_guitar,Jazz_Organ
419,0419.wav,G#:7/7,non_guitar,Jazz_Organ
420,0420.wav,A:7,non_guitar,Jazz_Organ
421,0421.wav,A:7/3,non_guitar,Jazz_Organ
422,0422.wav,A:7/5,non_guitar,Jazz_Organ
423,0423.wav,A:7/7,non_guitar,Jazz_Organ
424,0424.wav,A#:7,non_guitar,Jazz_Organ
425,0425.wav,A#:7/3,non_guitar,Jazz_Organ
426,0426.wav,A#:7/5,non_guitar,Jazz_Organ
427,0427.wav,A#:7/7,non_guitar,Jazz_Organ
428,0428.wav,B:7,non_guitar,Jazz_Organ
429,0429.wav,B:7/3,non_guitar,Jazz_Organ
430,0430.wav,B:7/5,non_guitar,Jazz_Organ
431,0431.wav,B:7/7,non_guitar,Jazz_Organ
432,0432.wav,C:7,non_guitar,Jazz_Organ
433,0433.wav,C:7/3,non_guitar,Jazz_Organ
434,0434.wav,C:7/5,non_guitar,Jazz_Organ
435,0435.wav,C:7/7,non_guitar,Jazz_Organ
436,0436.wav,C#:7,non_guitar,Jazz_Organ
437,0437.wav,C#:7/3,non_guitar,Jazz_Organ
438,0438.wav,C#:7/5,non_guitar,Jazz_Organ
439,0439.wav,C#:7/7,non_guitar,Jazz_Organ
440,0440.wav,D:7,non_guitar,Jazz_Organ
441,0441.wav,D:7/3,non_guitar,Jazz_Organ
442,0442.wav,D:7/5,non_guitar,Jazz_Organ
443,0443.wav,D:7/7,non_guitar,Jazz_Organ
444,0444.wav,D#:7,non_guitar,Jazz_Organ
445,0445.wav,D#:7/3,non_guitar,Jazz_Organ
446,0446.wav,D#:7/5,non_guitar,Jazz_Organ
447,0447.wav,D#:7/7,non_guitar,Jazz_Organ
448,0448.wav,E:7,non_guitar,Jazz_Organ
449,0449.wav,E:7/3,non_guitar,Jazz_Organ
450,0450.wav,E:7/5,non_guitar,Jazz_Organ
451,0451.wav,E:7/7,non_guitar,Jazz_Organ
452,0452.wav,F:7,non_guitar,Jazz_Organ
453,0453.wav,F:7/3,non_guitar,Jazz_Organ
454,0454.wav,F:7/5,non_guitar,Jazz_Organ
455,0455.wav,F:7/7,non_guitar,Jazz_Organ
456,0456.wav,F#:7,non_guitar,Jazz_Organ
457,0457.wav,F#:7/3,non_guitar,Jazz_Organ
458,0458.wav,F#:7/5,non_guitar,Jazz_Organ
459,0459.wav,F#:7/7,non_guitar,Jazz_Organ
460,0460.wav,G:7,non_guitar,Jazz_Organ
461,0461.wav,G:7/3,non_guitar,Jazz_Organ
462,0462.wav,G:7/5,non_guitar,Jazz_Organ
463,0463.wav,G:7/7,non_guitar,Jazz_Organ
464,0464.wav,G#:7,non_guitar,Jazz_Organ
465,0465.wav,G#:7/3,non_guitar,Jazz_Organ
466,0466.wav,G#:7/5,non_guitar,Jazz_Organ
467,0467.wav,G#:7/7,non_guitar,Jazz_Organ
468,0468.wav,A:7,non_guitar,Jazz_Organ
469,0469.wav,A:7/3,non_guitar,Jazz_Organ
470,0470.wav,A:7/5,non_guitar,Jazz_Organ
471,0471.wav,A:7/7,non_guitar,Jazz_Organ
